street_name,town,lat,lng
TAMPINES ST 42,TAMPINES,1.358680879,103.9523067
TAMPINES ST 43,TAMPINES,1.361365295,103.9520154
TAMPINES ST 44,TAMPINES,1.360213331,103.9537674
TAMPINES ST 45,TAMPINES,1.359286834,103.9578089
TAMPINES ST 61,TAMPINES,1.362830257,103.9370277
TAMPINES ST 71,TAMPINES,1.357846176,103.9333205
TAMPINES ST 72,TAMPINES,1.359483008,103.934552
TAMPINES ST 81,TAMPINES,1.348618668,103.9337714
TAMPINES ST 82,TAMPINES,1.35163555,103.9365655
TAMPINES ST 83,TAMPINES,1.353389338,103.9345068
TAMPINES ST 84,TAMPINES,1.352806857,103.9325004
TAMPINES ST 86,TAMPINES,1.353032557,103.9291417
TAMPINES ST 91,TAMPINES,1.348440806,103.9390604
TANGLIN HALT RD,QUEENSTOWN,1.301618081,103.7979105
TAO CHING RD,JURONG WEST,1.33301608,103.7241654
TEBAN GDNS RD,JURONG EAST,1.32209764,103.7416644
TECK WHYE AVE,CHOA CHU KANG,1.38138721,103.7540626
TECK WHYE CRES,CHOA CHU KANG,1.382853213,103.7529153
TECK WHYE LANE,CHOA CHU KANG,1.379187993,103.7526727
TELOK BLANGAH CRES,BUKIT MERAH,1.277314027,103.820226
TELOK BLANGAH DR,BUKIT MERAH,1.273182801,103.8078455
TELOK BLANGAH HTS,BUKIT MERAH,1.276809239,103.8114023
TELOK BLANGAH RISE,BUKIT MERAH,1.272915492,103.8212495
TELOK BLANGAH ST 31,BUKIT MERAH,1.275354048,103.8068223
TELOK BLANGAH WAY,BUKIT MERAH,1.276061496,103.8191417
TESSENSOHN RD,KALLANG/WHAMPOA,1.315506019,103.8561183
TG PAGAR PLAZA,CENTRAL AREA,1.27572127,103.8430421
TIONG BAHRU RD,BUKIT MERAH,1.285170704,103.8340613
TOA PAYOH CTRL,TOA PAYOH,1.33439281,103.8490167
TOA PAYOH EAST,TOA PAYOH,1.33427968,103.8574545
TOA PAYOH NTH,TOA PAYOH,1.341768306,103.849234
TOH GUAN RD,JURONG EAST,1.336440832,103.7476376
TOH YI DR,BUKIT TIMAH,1.338219735,103.771655
TOWNER RD,KALLANG/WHAMPOA,1.319943877,103.8586913
UBI AVE 1,GEYLANG,1.326428814,103.8981263
UPP ALJUNIED LANE,TOA PAYOH,1.334454817,103.8795145
UPP BOON KENG RD,KALLANG/WHAMPOA,1.314574067,103.8720873
UPP CROSS ST,CENTRAL AREA,1.285690974,103.8433944
UPP SERANGOON CRES,HOUGANG,1.37748771,103.9004326
UPP SERANGOON RD,HOUGANG,1.357894093,103.8824381
UPP SERANGOON VIEW,HOUGANG,1.37495043,103.9030348
VEERASAMY RD,CENTRAL AREA,1.307549585,103.8544126
WATERLOO ST,CENTRAL AREA,1.298928664,103.8515158
WELLINGTON CIRCLE,SEMBAWANG,1.452875929,103.8220961
WEST COAST DR,CLEMENTI,1.313831731,103.759287
WEST COAST RD,CLEMENTI,1.310284203,103.756399
WHAMPOA DR,KALLANG/WHAMPOA,1.32382537,103.8564028
WHAMPOA RD,KALLANG/WHAMPOA,1.326166088,103.8563823
WHAMPOA STH,KALLANG/WHAMPOA,1.324359286,103.8669335
WHAMPOA WEST,KALLANG/WHAMPOA,1.320839503,103.8636507
WOODLANDS AVE 1,WOODLANDS,1.431632281,103.7852149
WOODLANDS AVE 3,WOODLANDS,1.432478487,103.7737576
WOODLANDS AVE 4,WOODLANDS,1.438243702,103.7956662
WOODLANDS AVE 5,WOODLANDS,1.435149753,103.7925266
WOODLANDS AVE 6,WOODLANDS,1.438961831,103.8029436
WOODLANDS AVE 9,WOODLANDS,1.448282676,103.7986462
WOODLANDS CIRCLE,WOODLANDS,1.444667631,103.7981386
WOODLANDS CRES,WOODLANDS,1.446884575,103.802479
WOODLANDS CTR RD,WOODLANDS,1.43794768,103.7710111
WOODLANDS DR 14,WOODLANDS,1.431901802,103.7916418
WOODLANDS DR 16,WOODLANDS,1.430324053,103.7946986
WOODLANDS DR 40,WOODLANDS,1.442299106,103.7960019
WOODLANDS DR 42,WOODLANDS,1.437078453,103.7967305
WOODLANDS DR 44,WOODLANDS,1.431679585,103.7945795
WOODLANDS DR 50,WOODLANDS,1.437125551,103.793678
WOODLANDS DR 52,WOODLANDS,1.434152653,103.7993835
WOODLANDS DR 53,WOODLANDS,1.432382673,103.797162
WOODLANDS DR 60,WOODLANDS,1.447077927,103.7996631
WOODLANDS DR 62,WOODLANDS,1.439490404,103.8054575
WOODLANDS DR 70,WOODLANDS,1.441425431,103.7983112
WOODLANDS DR 71,WOODLANDS,1.439987208,103.8001299
WOODLANDS DR 72,WOODLANDS,1.443523727,103.8044376
WOODLANDS DR 73,WOODLANDS,1.441130753,103.8061064
WOODLANDS DR 75,WOODLANDS,1.441709349,103.8080959
WOODLANDS RING RD,WOODLANDS,1.438752535,103.7993522
WOODLANDS RISE,WOODLANDS,1.447145429,103.8045031
WOODLANDS ST 11,WOODLANDS,1.43358313,103.7757069
WOODLANDS ST 13,WOODLANDS,1.435140157,103.7776007
WOODLANDS ST 31,WOODLANDS,1.430609304,103.7749589
WOODLANDS ST 32,WOODLANDS,1.431018926,103.7801891
WOODLANDS ST 41,WOODLANDS,1.429523258,103.7730734
WOODLANDS ST 81,WOODLANDS,1.441551877,103.7892831
WOODLANDS ST 82,WOODLANDS,1.443478682,103.7914682
WOODLANDS ST 83,WOODLANDS,1.440926853,103.7936957
YISHUN AVE 1,YISHUN,1.417875105,103.8460765
YISHUN AVE 11,YISHUN,1.424780783,103.8447831
YISHUN AVE 2,YISHUN,1.426139958,103.8351252
YISHUN AVE 3,YISHUN,1.423884054,103.8299985
YISHUN AVE 4,YISHUN,1.418773533,103.84071
YISHUN AVE 5,YISHUN,1.430725861,103.8308755
YISHUN AVE 6,YISHUN,1.433154881,103.8452948
YISHUN AVE 7,YISHUN,1.438602353,103.8331371
YISHUN AVE 9,YISHUN,1.434000479,103.8419374
YISHUN CTRL,YISHUN,1.427002886,103.8406624
YISHUN CTRL 1,YISHUN,1.428579154,103.8372761
YISHUN RING RD,YISHUN,1.426161628,103.8320061
YISHUN ST 11,YISHUN,1.432170799,103.8327938
YISHUN ST 20,YISHUN,1.436154481,103.8352862
YISHUN ST 21,YISHUN,1.433250155,103.8367503
YISHUN ST 22,YISHUN,1.437289706,103.8375152
YISHUN ST 31,YISHUN,1.431856159,103.8459868
YISHUN ST 41,YISHUN,1.419631758,103.8454277
YISHUN ST 43,YISHUN,1.425672536,103.8523313
YISHUN ST 51,YISHUN,1.416505831,103.8433886
YISHUN ST 61,YISHUN,1.420786037,103.8376609
YISHUN ST 71,YISHUN,1.427124924,103.8295792
YISHUN ST 72,YISHUN,1.427481903,103.8332548
YISHUN ST 81,YISHUN,1.41527431,103.837315
YUAN CHING RD,JURONG WEST,1.335383369,103.7250768
YUNG AN RD,JURONG WEST,1.336978324,103.7195581
YUNG HO RD,JURONG WEST,1.326858877,103.7226627
YUNG KUANG RD,JURONG WEST,1.331692591,103.7231604
YUNG LOH RD,JURONG WEST,1.327653754,103.7222581
YUNG PING RD,JURONG WEST,1.330112669,103.7221097
YUNG SHENG RD,JURONG WEST,1.334935939,103.7213002
ZION RD,BUKIT MERAH,1.291262638,103.8327392
